abbrev,title,cluster,qid,block,primary_drift,condition,suffix_was_stripped,tokens,d1,d2,d3,d4,total,d1_per1k,d2_per1k,d3_per1k,d4_per1k,total_per1k,tokens_raw,d4_raw,total_raw,d4_per1k_raw,total_per1k_raw
coa,The Confessions of St. Augustine,G1,Q01,1,D3,A1,False,420,0,0,2,0,2,0.0,0.0,4.761904761904763,0.0,4.761904761904763,420,0,2,0.0,4.761904761904763
coa,The Confessions of St. Augustine,G1,Q01,1,D3,A2,False,158,0,0,1,0,1,0.0,0.0,6.329113924050633,0.0,6.329113924050633,158,0,1,0.0,6.329113924050633
coa,The Confessions of St. Augustine,G1,Q01,1,D3,B,True,132,0,1,1,0,2,0.0,7.575757575757576,7.575757575757576,0.0,15.151515151515152,153,1,3,6.5359477124183005,19.607843137254903
coa,The Confessions of St. Augustine,G1,Q02,1,D3,A1,False,364,0,0,1,0,1,0.0,0.0,2.7472527472527473,0.0,2.7472527472527473,364,0,1,0.0,2.7472527472527473
coa,The Confessions of St. Augustine,G1,Q02,1,D3,A2,False,276,0,1,1,0,2,0.0,3.6231884057971016,3.6231884057971016,0.0,7.246376811594203,276,0,2,0.0,7.246376811594203
coa,The Confessions of St. Augustine,G1,Q02,1,D3,B,True,139,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0
coa,The Confessions of St. Augustine,G1,Q03,1,D3,A1,False,432,0,1,2,0,3,0.0,2.314814814814815,4.62962962962963,0.0,6.944444444444444,432,0,3,0.0,6.944444444444444
coa,The Confessions of St. Augustine,G1,Q03,1,D3,A2,False,226,0,0,1,0,1,0.0,0.0,4.424778761061947,0.0,4.424778761061947,226,0,1,0.0,4.424778761061947
coa,The Confessions of St. Augustine,G1,Q03,1,D3,B,True,144,0,1,0,1,2,0.0,6.944444444444444,0.0,6.944444444444444,13.888888888888888,168,2,3,11.904761904761903,17.857142857142858
coa,The Confessions of St. Augustine,G1,Q04,2,D1,A1,False,476,0,1,2,0,3,0.0,2.100840336134454,4.201680672268908,0.0,6.302521008403361,476,0,3,0.0,6.302521008403361
coa,The Confessions of St. Augustine,G1,Q04,2,D1,A2,False,295,0,3,4,1,8,0.0,10.169491525423728,13.559322033898304,3.389830508474576,27.11864406779661,295,1,8,3.389830508474576,27.11864406779661
coa,The Confessions of St. Augustine,G1,Q04,2,D1,B,True,148,0,0,1,0,1,0.0,0.0,6.756756756756757,0.0,6.756756756756757,170,1,2,5.88235294117647,11.76470588235294
coa,The Confessions of St. Augustine,G1,Q05,2,D1,A1,False,569,0,1,1,1,3,0.0,1.757469244288225,1.757469244288225,1.757469244288225,5.272407732864675,569,1,3,1.757469244288225,5.272407732864675
coa,The Confessions of St. Augustine,G1,Q05,2,D1,A2,False,335,0,1,0,1,2,0.0,2.985074626865672,0.0,2.985074626865672,5.970149253731344,335,1,2,2.985074626865672,5.970149253731344
coa,The Confessions of St. Augustine,G1,Q05,2,D1,B,True,183,0,0,0,1,1,0.0,0.0,0.0,5.46448087431694,5.46448087431694,203,2,2,9.852216748768473,9.852216748768473
coa,The Confessions of St. Augustine,G1,Q06,3,D2,A1,False,681,0,0,4,1,5,0.0,0.0,5.873715124816446,1.4684287812041115,7.342143906020558,681,1,5,1.4684287812041115,7.342143906020558
coa,The Confessions of St. Augustine,G1,Q06,3,D2,A2,False,404,1,3,2,0,6,2.4752475247524752,7.425742574257425,4.9504950495049505,0.0,14.85148514851485,404,0,6,0.0,14.85148514851485
coa,The Confessions of St. Augustine,G1,Q06,3,D2,B,True,150,0,0,1,0,1,0.0,0.0,6.666666666666667,0.0,6.666666666666667,173,1,2,5.780346820809248,11.560693641618496
coa,The Confessions of St. Augustine,G1,Q07,3,D2,A1,False,631,0,0,2,1,3,0.0,0.0,3.1695721077654517,1.5847860538827259,4.754358161648177,631,1,3,1.5847860538827259,4.754358161648177
coa,The Confessions of St. Augustine,G1,Q07,3,D2,A2,False,403,1,4,1,2,8,2.4813895781637716,9.925558312655086,2.4813895781637716,4.962779156327543,19.851116625310173,403,2,8,4.962779156327543,19.851116625310173
coa,The Confessions of St. Augustine,G1,Q07,3,D2,B,True,156,0,0,1,0,1,0.0,0.0,6.41025641025641,0.0,6.41025641025641,179,1,2,5.58659217877095,11.1731843575419
coa,The Confessions of St. Augustine,G1,Q08,3,D2,A1,False,567,0,0,5,0,5,0.0,0.0,8.818342151675484,0.0,8.818342151675484,567,0,5,0.0,8.818342151675484
coa,The Confessions of St. Augustine,G1,Q08,3,D2,A2,False,448,0,5,2,0,7,0.0,11.160714285714286,4.464285714285714,0.0,15.625,448,0,7,0.0,15.625
coa,The Confessions of St. Augustine,G1,Q08,3,D2,B,True,134,0,1,0,0,1,0.0,7.462686567164179,0.0,0.0,7.462686567164179,162,1,2,6.172839506172839,12.345679012345679
coa,The Confessions of St. Augustine,G1,Q09,4,D3,A1,False,688,0,0,1,0,1,0.0,0.0,1.4534883720930232,0.0,1.4534883720930232,688,0,1,0.0,1.4534883720930232
coa,The Confessions of St. Augustine,G1,Q09,4,D3,A2,False,454,0,1,1,0,2,0.0,2.2026431718061676,2.2026431718061676,0.0,4.405286343612335,454,0,2,0.0,4.405286343612335
coa,The Confessions of St. Augustine,G1,Q09,4,D3,B,True,172,0,1,0,0,1,0.0,5.813953488372093,0.0,0.0,5.813953488372093,193,1,2,5.181347150259067,10.362694300518134
coa,The Confessions of St. Augustine,G1,Q10,4,D3,A1,False,548,1,2,2,1,6,1.8248175182481752,3.6496350364963503,3.6496350364963503,1.8248175182481752,10.948905109489052,548,1,6,1.8248175182481752,10.948905109489052
coa,The Confessions of St. Augustine,G1,Q10,4,D3,A2,False,475,0,1,4,0,5,0.0,2.1052631578947367,8.421052631578947,0.0,10.526315789473683,475,0,5,0.0,10.526315789473683
coa,The Confessions of St. Augustine,G1,Q10,4,D3,B,True,191,0,0,1,0,1,0.0,0.0,5.235602094240838,0.0,5.235602094240838,211,1,2,4.739336492890995,9.47867298578199
coa,The Confessions of St. Augustine,G1,Q11,5,D1,A1,False,733,0,0,0,2,2,0.0,0.0,0.0,2.728512960436562,2.728512960436562,733,2,2,2.728512960436562,2.728512960436562
coa,The Confessions of St. Augustine,G1,Q11,5,D1,A2,False,554,1,6,4,4,15,1.8050541516245489,10.830324909747292,7.220216606498195,7.220216606498195,27.075812274368232,554,4,15,7.220216606498195,27.075812274368232
coa,The Confessions of St. Augustine,G1,Q11,5,D1,B,True,168,0,1,1,0,2,0.0,5.952380952380952,5.952380952380952,0.0,11.904761904761903,191,1,3,5.235602094240838,15.706806282722512
coa,The Confessions of St. Augustine,G1,Q12,5,D4,A1,False,490,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,490,0,0,0.0,0.0
coa,The Confessions of St. Augustine,G1,Q12,5,D4,A2,False,349,0,1,3,0,4,0.0,2.865329512893983,8.595988538681949,0.0,11.461318051575931,349,0,4,0.0,11.461318051575931
coa,The Confessions of St. Augustine,G1,Q12,5,D4,B,True,146,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,168,1,1,5.952380952380952,5.952380952380952
coa,The Confessions of St. Augustine,G1,Q13,5,D4,A1,False,454,0,0,2,0,2,0.0,0.0,4.405286343612335,0.0,4.405286343612335,454,0,2,0.0,4.405286343612335
